technology,global_cycle_seconds, latency (ps), datawidth, energy, area, action
sfq, 2e-10, 3.125e-10, 16, 0.0, 5e7, read | write | update 
sfq, 2e-10, 3.125e-10, 16, 0.117, 5e7, leak 
